Constraint,Passage,Window_Size,Original_MATTR,Generated_MATTR,Difference,Relative_Change_Percent
e,short,100,0.715216258467952,0.71529442417926,7.81657113080314e-05,0.01092896174864206
e,medium,100,0.7154412362749085,0.7153589587146634,-8.227756024514754e-05,-0.011500254119198179
e,long,100,0.7144423395690268,0.7144423395690268,0.0,0.0
et,short,100,0.715216258467952,0.7146951537258989,-0.0005211047420531356,-0.07285974499089015
et,medium,100,0.7154412362749085,0.7152379015860105,-0.00020333468889799367,-0.028420879114642233
et,long,100,0.7144423395690268,0.7144423395690268,0.0,0.0
eta,short,100,0.715216258467952,0.7152631578947368,4.689942678481884e-05,0.006557377049185235
eta,medium,100,0.7154412362749085,0.715481903212688,4.066693777948771e-05,0.005684175822912928
eta,long,100,0.7144423395690268,0.7145932504440498,0.0001509108750229471,0.02112289077296022
etao,short,100,0.715216258467952,0.7147264200104221,-0.0004898384575299231,-0.06848816029143333
etao,medium,100,0.7154412362749085,0.7112017080113867,-0.004239528263521808,-0.5925753295401005
etao,long,100,0.7144423395690268,0.714396684428656,-4.565514037080387e-05,-0.0063903184123080435
etaoi,short,100,0.715216258467952,0.7152475247524752,3.126628452321256e-05,0.0043715846994568245
etaoi,medium,100,0.7154412362749085,0.7154637917005695,2.2555425660986117e-05,0.0031526594383104846
etaoi,long,100,0.7144423395690268,0.7144423395690268,0.0,0.0
etaoin,short,100,0.715216258467952,0.7210815047021945,0.005865246234242449,0.8200661219316038
etaoin,medium,100,0.7154412362749085,0.7154127694184628,-2.846685644575242e-05,-0.0039789230760545686
etaoin,long,100,0.7144423395690268,0.7144423395690268,0.0,0.0
