Constraint,Passage,Original_Words,Generated_Words,Original_Sentences,Generated_Sentences,Original_Syllables,Generated_Syllables,Original_Flesch,Generated_Flesch,Difference,Relative_Change_Percent
e,short,2018,2018,103,103,2797,2797,69.69110351496727,69.69110351496727,0.0,0.0
e,medium,5017,5016,262,262,6918,6916,70.74298237519153,70.75733171408744,0.014349338895911501,0.020283763016674273
e,long,8545,8545,462,462,11553,11550,73.68110985513415,73.71081143500541,0.029701579871257877,0.04031098327597769
et,short,2018,2018,103,103,2797,2797,69.69110351496727,69.69110351496727,0.0,0.0
et,medium,5017,5017,262,262,6918,6916,70.74298237519153,70.7767077090564,0.03372533386486509,0.047673045060497826
et,long,8545,8545,462,462,11553,11553,73.68110985513415,73.68110985513415,0.0,0.0
eta,short,2018,2018,103,103,2797,2797,69.69110351496727,69.69110351496727,0.0,0.0
eta,medium,5017,5017,262,262,6918,6918,70.74298237519153,70.74298237519153,0.0,0.0
eta,long,8545,8544,462,463,11553,11552,73.68110985513415,73.72036316645232,0.03925331131816279,0.05327459289815188
etao,short,2018,2018,103,103,2797,2797,69.69110351496727,69.69110351496727,0.0,0.0
etao,medium,5017,5017,262,262,6918,6913,70.74298237519153,70.82729570985369,0.08431333466215563,0.1191826126512345
etao,long,8545,8544,462,462,11553,11498,73.68110985513415,74.21451225740552,0.5334024022713635,0.7239337237456062
etaoi,short,2018,2018,103,103,2797,2783,69.69110351496727,70.27802125530424,0.5869177403369719,0.842170249479436
etaoi,medium,5017,5015,262,262,6918,6911,70.74298237519153,70.82229340604142,0.07931103084989388,0.11211151719510631
etaoi,long,8545,8545,462,462,11553,11548,73.68110985513415,73.73061248825292,0.04950263311876313,0.06718497212662948
etaoin,short,2018,2013,103,103,2797,2229,69.69110351496727,93.32036100299511,23.629257488027847,33.90570144000244
etaoin,medium,5017,5017,262,262,6918,6922,70.74298237519153,70.67553170746181,-0.06745066772971597,-0.09534609012097556
etaoin,long,8545,8545,462,462,11553,11553,73.68110985513415,73.68110985513415,0.0,0.0
